"Age_yrs_b2k" "norm_units" "error"
10600 0.756 0.227
10625 0.762 0.221
10650 0.777 0.215
10675 0.767 0.211
10700 0.766 0.203
10725 0.757 0.196
10750 0.744 0.188
10775 0.733 0.179
10800 0.718 0.172
10825 0.708 0.168
10850 0.695 0.158
10875 0.672 0.151
10900 0.646 0.146
10925 0.628 0.137
10950 0.615 0.133
10975 0.614 0.126
11000 0.608 0.127
11025 0.603 0.127
11050 0.598 0.12
11075 0.595 0.117
11100 0.586 0.115
11125 0.586 0.112
11150 0.589 0.111
11175 0.584 0.111
11200 0.581 0.114
11225 0.576 0.112
11250 0.563 0.113
11275 0.554 0.114
11300 0.55 0.111
11325 0.546 0.111
11350 0.54 0.113
11375 0.529 0.109
11400 0.499 0.104
11425 0.478 0.102
11450 0.45 0.101
11475 0.437 0.1
11500 0.412 0.1
11525 0.376 0.103
11550 0.329 0.109
11575 0.274 0.112
11600 0.227 0.108
11625 0.187 0.103
11650 0.15 0.1
11675 0.125 0.099
11700 0.095 0.098
11725 0.076 0.102
11750 0.063 0.096
11775 0.06 0.1
11800 0.059 0.104
11825 0.087 0.097
11850 0.093 0.098
11875 0.088 0.1
11900 0.085 0.096
11925 0.08 0.097
11950 0.086 0.097
11975 0.07 0.1
12000 0.062 0.103
12025 0.053 0.104
12050 0.012 0.102
12075 -0.014 0.1
12100 -0.023 0.094
12125 -0.022 0.088
12150 0.007 0.087
12175 0.019 0.086
12200 0.029 0.089
12225 0.036 0.091
12250 0.061 0.09
12275 0.072 0.089
12300 0.046 0.095
12325 0.006 0.098
12350 -0.012 0.097
12375 -0.022 0.096
12400 -0.027 0.096
12425 -0.017 0.095
12450 0.006 0.097
12475 0.044 0.101
12500 0.077 0.097
12525 0.113 0.092
12550 0.146 0.089
12575 0.165 0.088
12600 0.191 0.089
12625 0.223 0.097
12650 0.263 0.102
12675 0.292 0.101
12700 0.301 0.107
12725 0.313 0.107
12750 0.329 0.107
12775 0.35 0.099
12800 0.387 0.102
12825 0.425 0.107
12850 0.475 0.116
12875 0.525 0.128
12900 0.579 0.136
12925 0.619 0.132
12950 0.645 0.121
12975 0.658 0.111
13000 0.661 0.107
13025 0.667 0.107
13050 0.655 0.119
13075 0.649 0.131
13100 0.645 0.132
13125 0.651 0.131
13150 0.669 0.131
13175 0.687 0.121
13200 0.69 0.118
13225 0.675 0.121
13250 0.668 0.121
13275 0.657 0.126
13300 0.649 0.121
13325 0.67 0.118
13350 0.676 0.117
13375 0.681 0.115
13400 0.682 0.115
13425 0.707 0.125
13450 0.738 0.134
13475 0.779 0.142
13500 0.813 0.144
13525 0.824 0.142
13550 0.802 0.146
13575 0.765 0.145
13600 0.736 0.139
