Age_yrb2k	MCE
9004	63
9004	63
9009	63
9009	63
9015	63
9015	63
9021	63
9021	63
9026	63
9026	63
9033	63
9033	64
9040	64
9040	64
9045	64
9045	64
9051	64
9051	64
9058	64
9058	64
9064	64
9064	64
9070	64
9070	64
9076	64
9076	64
9082	64
9082	65
9088	65
9088	65
9093	65
9093	65
9100	65
9100	65
9106	65
9106	65
9111	65
9111	65
9116	65
9116	65
9122	65
9122	65
9128	65
9128	65
9134	65
9134	66
9139	66
9139	66
9144	66
9144	66
9150	66
9150	66
9155	66
9155	66
9161	66
9161	66
9167	66
9167	66
9173	66
9173	66
9179	66
9179	67
9185	67
9185	67
9191	67
9191	67
9197	67
9197	67
9202	67
9202	67
9208	67
9208	67
9214	67
9214	67
9220	67
9220	67
9225	67
9225	67
9231	67
9231	68
9237	68
9237	68
9243	68
9243	68
9250	68
9250	68
9256	68
9256	68
9261	68
9261	68
9267	68
9267	68
9273	68
9273	68
9280	68
9280	69
9286	69
9286	69
9293	69
9293	69
9300	69
9300	69
9306	69
9306	69
9312	69
9312	69
9319	69
9319	69
9326	69
9326	69
9331	69
9331	70
9337	70
9337	70
9343	70
9343	70
9350	70
9350	70
9355	70
9355	70
9362	70
9362	70
9367	70
9367	70
9373	70
9373	70
9378	70
9378	71
9383	71
9383	71
9389	71
9389	71
9394	71
9394	71
9400	71
9400	71
9405	71
9405	71
9411	71
9411	71
9416	71
9416	71
9423	71
9423	71
9428	71
9428	72
9433	72
9433	72
9439	72
9439	72
9446	72
9446	72
9452	72
9452	72
9458	72
9458	72
9464	72
9464	72
9469	72
9469	72
9475	72
9475	72
9481	72
9481	73
9487	73
9487	73
9492	73
9492	73
9498	73
9498	73
9504	73
9504	73
9510	73
9510	73
9517	73
9517	73
9524	73
9524	73
9529	73
9529	74
9535	74
9535	74
9541	74
9541	74
9547	74
9547	74
9553	74
9553	74
9559	74
9559	74
9565	74
9565	74
9571	74
9571	74
9578	74
9578	75
9584	75
9584	75
9590	75
9590	75
9596	75
9596	75
9602	75
9602	75
9609	75
9609	75
9615	75
9615	75
9621	75
9621	75
9627	75
9627	76
9633	76
9633	76
9639	76
9639	76
9646	76
9646	76
9651	76
9651	76
9657	76
9657	76
9664	76
9664	76
9670	76
9670	76
9677	76
9677	77
9683	77
9683	77
9690	77
9690	77
9696	77
9696	77
9701	77
9701	77
9707	77
9707	77
9712	77
9712	77
9720	77
9720	77
9726	77
9726	78
9732	78
9732	78
9738	78
9738	78
9745	78
9745	78
9751	78
9751	78
9756	78
9756	78
9763	78
9763	78
9769	78
9769	78
9775	78
9775	79
9781	79
9781	79
9787	79
9787	79
9793	79
9793	79
9800	79
9800	79
9806	79
9806	79
9812	79
9812	79
9818	79
9818	79
9825	79
9825	80
9831	80
9831	80
9837	80
9837	80
9844	80
9844	80
9851	80
9851	80
9857	80
9857	80
9863	80
9863	80
9869	80
9869	80
9875	80
9875	81
9881	81
9881	81
9887	81
9887	81
9893	81
9893	81
