"Age_yrs_b2k" "norm_units"
10750 0.634
10775 0.809
10800 0.536
10825 0.694
10850 0.581
10875 0.568
10900 0.647
10925 0.465
10950 0.535
10975 0.538
11000 0.787
11025 0.594
11050 0.717
11075 0.704
11100 0.464
11125 0.565
11150 0.405
11175 0.454
11200 0.316
11225 0.623
11250 0.602
11275 0.688
11300 0.55
11325 0.388
11350 0.356
11375 0.236
11400 0.098
11425 0.318
11450 0.221
11475 0.182
11500 0.443
11525 0.246
11550 0.765
11575 0.508
11600 0.455
11625 0.592
11650 0.662
11675 0.208
11700 -0.007
11725 -0.54
11750 -0.175
11775 -0.292
11800 -0.644
11825 -0.176
11850 -0.535
11875 -0.245
11900 -0.623
11925 -0.594
11950 -0.358
11975 -0.291
12000 -0.221
12025 -0.503
12050 -0.415
12075 -0.353
12100 -0.294
12125 -0.43
12150 -0.633
12175 -0.422
12200 -0.399
12225 -0.56
12250 -0.354
12275 -0.543
12300 -0.604
12325 -0.338
12350 -0.778
12375 -0.493
12400 -0.63
12425 -0.223
12450 -0.592
12475 -0.496
12500 -0.401
12525 -0.472
12550 -0.614
12575 -0.729
12600 -0.696
12625 -0.523
12650 -0.803
12675 -0.697
12700 -0.674
12725 -0.837
12750 -0.912
12775 -0.685
12800 -0.48
12825 -0.232
12850 -0.222
12875 -0.024
12900 -0.122
12925 0.093
12950 -0.062
12975 0.299
13000 0.099
13025 -0.151
13050 0.141
13075 -0.034
13100 -0.193
13125 -0.293
13150 -0.487
13175 -0.054
13200 -0.317
13225 -0.262
13250 -0.128
13275 -0.221
13300 0.065
13325 -0.059
13350 0.312
13375 0.071
13400 0.229
13425 0.011
13450 0.259
13475 0.196
13500 0.277
13525 0.646
13550 0.31
13575 0.222
13600 0.26
13625 -0.156
13650 0.263
13675 0.265
13700 0.425
13725 0.245
13750 0.462
13775 0.269
13800 0.223
13825 0.355
13850 0.164
13875 0.326
13900 0.265
13925 0.345
13950 0.471
13975 0.089
14000 -0.162
14025 -0.373
14050 -0.178
14075 -0.053
14100 0.382
14125 0.452
14150 0.225
14175 0.169
14200 0.351
14225 0.32
14250 0.559
14275 0.503
14300 0.723
14325 0.933
14350 0.749
14375 0.547
14400 0.84
14425 0.612
14450 0.787
14475 0.605
14500 0.873
14525 0.734
14550 0.829
14575 0.635
14600 0.788
14625 0.653
14650 0.701
14675 0.355
14700 0.053
14725 0.042
14750 -0.462
14775 -0.439
14800 -0.086
14825 -0.12
14850 0.016
14875 -0.18
14900 -0.558
14925 -0.303
14950 -0.083
14975 -0.259
15000 0.052
15025 -0.178
15050 -0.307
15075 -0.207
15100 -0.408
15125 -0.292
15150 -0.11
15175 -0.399
15200 -0.161
15225 -0.098
15250 -0.129
15275 0.05
15300 -0.066
15325 -0.297
15350 -0.117
15375 -0.18
15400 -0.128
15425 -0.218
15450 -0.293
15475 -0.311
15500 -0.287
15525 -0.151
15550 -0.387
15575 -0.525
15600 -0.616
15625 -0.321
15650 -0.066
15675 -0.072
15700 -0.18
15725 -0.039
15750 -0.512
15775 -0.383
15800 -0.292
15825 -0.241
15850 -0.405
